CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  316300 3163003ATIVO   MUNIC   Sao JoseSAO JOSE DA SAFI       3      31                N       N       N       N           1962                       1        -18,3251-42,1464     310 214,454
  316310 3163102ATIVO   MUNIC   Sao JoseSAO JOSE DA VARG       3      31                N       N       N       N           1962                       1        -19,7048-44,5611     755 205,099
  316320 3163201ATIVO   MUNIC   Sao JoseSAO JOSE DO ALEG       3      31                N       N       N       N           1953                       1        -22,3291-45,5302     851  89,243
  316330 3163300ATIVO   MUNIC   Sao JoseSAO JOSE DO DIVI       3      31                N       N       N       N           1962                       1        -18,4833-41,3912     340  326,23
  316340 3163409ATIVO   MUNIC   Sao JoseSAO JOSE DO GOIA       3      31                N       N       N       N           1953                       1         -19,928-42,7099     287 185,241
  316350 3163508ATIVO   MUNIC   Sao JoseSAO JOSE DO JACU       3      31                N       N       N       N           1953                       1        -18,2758-42,6666     642 345,861
  316360 3163607ATIVO   MUNIC   Sao JoseSAO JOSE DO MANT       3      31                N       N       N       N           1962                       1         -20,006-41,7491     360  54,475
  316370 3163706ATIVO   MUNIC   Sao LourSAO LOURENCO           3      31                N       N       N       N           1927                       1        -22,1178-45,0534     874  57,065
  316380 3163805ATIVO   MUNIC   Sao MiguSAO MIGUEL DO AN       3      31                N       N       N       N           1953                       1        -20,7059-42,7209     760 152,276
  316390 3163904ATIVO   MUNIC   Sao PedrSAO PEDRO DA UNI       3      31                N       N       N       N           1943                       1        -21,1335-46,6213     977 258,511
  316400 3164001ATIVO   MUNIC   Sao PedrSAO PEDRO DOS FE       3      31                N       N       N       N           1943                       1        -20,1719-42,5239     363 400,669
  316410 3164100ATIVO   MUNIC   Sao PedrSAO PEDRO DO SUA       3      31                N       N       N       N           1962                       1        -18,3655-42,6002     473 308,771
  316420 3164209ATIVO   MUNIC   Sao RomaSAO ROMAO              3      31                N       N       N       N           1923                       1        -16,3686-45,0691     4802431,658
  316430 3164308ATIVO   MUNIC   Sao RoquSAO ROQUE DE MIN       3      31                N       N       N       N           1938                       1        -20,2507 -46,369     8182100,702
  316440 3164407ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DA       3      31                N       N       N       N           1962                       1         -22,155-45,7548     842 166,929
  316443 3164431ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DA       3      31                N       N       N       N           1997                       1        -21,0738-42,6387     718  73,711
  316447 3164472ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DO       3      31                N       N       N       N           1997                       1        -19,5001-41,9796     782  80,181
  316450 3164506ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DO       3      31                N       N       N       N           1948                       1        -18,0914-42,5657     539 519,302
  316460 3164605ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DO       3      31                N       N       N       N           1962                       1        -20,2741-45,0031     780 404,045
  316470 3164704ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DO       3      31                N       N       N       N           1870                       1        -20,9181-46,9865     991 822,295
  316480 3164803ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DO       3      31                N       N       N       N           1962                       1        -19,2858-43,1747     487 127,182
  316490 3164902ATIVO   MUNIC   Sao SebaSAO SEBASTIAO DO       3      31                N       N       N       N           1962                       1        -22,2151-44,9777     897  91,893
  316500 3165008ATIVO   MUNIC   Sao TiagSAO TIAGO              3      31                N       N       N       N           1948                       1        -20,9009 -44,504    1103 574,017
  316510 3165107ATIVO   MUNIC   Sao TomaSAO TOMAS DE AQU       3      31                N       N       N       N           1923                       1         -20,785-47,0968     979 277,546
  316520 3165206ATIVO   MUNIC   Sao ThomSAO THOME DAS LE       3      31                N       N       N       N           1962                       1        -21,7207 -44,987    1291 369,515
  316530 3165305ATIVO   MUNIC   Sao ViceSAO VICENTE DE M       3      31                N       N       N       N           1938                       1        -21,6975-44,4547    1057 392,067
  316540 3165404ATIVO   MUNIC   Sapucai-SAPUCAI-MIRIM          3      31                N       N       N       N           1938                       1        -22,7516-45,7409     885 284,796
  316550 3165503ATIVO   MUNIC   Sardoa  SARDOA                 3      31                N       N       N       N           1962                       1        -18,7833-42,3661     691 141,508
  316553 3165537ATIVO   MUNIC   Sarzedo SARZEDO                3      31                N       N       N       N           1997                       1        -20,0345-44,1459     796  61,892
  316555 3165552ATIVO   MUNIC   SetubinhSETUBINHA              3      31                N       N       N       N           1997                       1         -17,597-42,1664     731 535,738
  316556 3165560ATIVO   MUNIC   Sem-PeixSEM-PEIXE              3      31                N       N       N       N           1997                       1        -20,1025-42,8419     301 176,439
  316557 3165578ATIVO   MUNIC   Senador SENADOR AMARAL         3      31                N       N       N       N           1993                       1        -22,5887-46,1802    1505 151,135
  316560 3165602ATIVO   MUNIC   Senador SENADOR CORTES         3      31                N       N       N       N           1962                       1        -21,8025-42,9443     585   98,43
  316570 3165701ATIVO   MUNIC   Senador SENADOR FIRMINO        3      31                N       N       N       N           1938                       1        -20,9181-43,1041     660 166,152
  316580 3165800ATIVO   MUNIC   Senador SENADOR JOSE BEN       3      31                N       N       N       N           1962                       1        -22,1666-46,1795     885  94,589
